index,date,title,author,blame,location,title_right,author_right,original_publication_year,average_goodreads_rating,number_of_pages,Robert,Peter,Thirsa,Koen_v_W,Koen_M,Thomas,average_bookclub_rating
70,2024-07-20,Concept M,Aafke Romeijn,Thomas,Cafe Cook,Concept M,Aafke Romeijn,2018,3.4516666666666675,,3.0,3.0,3.0,3.0,2.0,2.0,2.6666666666666665
13,2016-09-06,"Blindsight (Firefall, #1)",Peter Watts,Robert,Tweede Kostverlorenkade,"Blindsight (Firefall, #1)",Peter Watts,2006,4.01,,5.0,5.0,,,,5.0,5.0
69,2024-05-24,His Master's Voice,Stanislaw Lem,Robert,"Knossos, Den Haag",His Master's Voice,Stanisław Lem,1968,4.086,,5.0,4.0,,3.0,3.0,5.0,4.0
68,2024-04-07,The City & the City,China Miéville,Laurynas,"vandeStreek, Utrecht",The City & the City,China Miéville,2009,3.9,,3.0,4.0,3.0,4.0,2.0,,3.2
67,2024-01-26,Kroniek van een aangekondigde dood,Gabriel Garcia Marquez,Peter,House of Watt,Kroniek van een aangekondigde dood,Gabriel García Márquez,1981,3.97,,3.0,3.0,,2.0,,,2.6666666666666665
66,2023-12-16,Roadside Picnic,Arkady Strugatsky,Koen,Brouwerij Troost Westergas,Roadside Picnic,Arkady Strugatsky,1972,4.138,,4.0,3.0,4.0,4.0,,5.0,4.0
65,2023-11-05,Oorlog met de salamanders,Karel Capek,Dion,Kaap & Tein,Oorlog met de salamanders,Karel Čapek,1936,4.17,,4.0,4.0,4.0,4.0,,3.0,3.8
62,2023-04-22,Tender is the Flesh,Agustina Bazterrica,Thirsa,Poolsterstraat 20,Tender Is the Flesh,Agustina Bazterrica,2017,3.783333333333333,,5.0,5.0,,5.0,,,5.0
61,2023-03-03,Tussentijds,Peter Zantingh,Peter,De Doelen,Tussentijds,Peter Zantingh,2022,3.8233333333333337,,3.0,,2.0,3.0,,,2.6666666666666665
60,2023-01-06,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,Laurynas,De Doelen,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,2013,3.99,,3.0,3.0,,2.0,,4.0,3.0
10,2016-02-16,Fahrenheit 451,Ray Bradbury,Bram,De Doelen,Fahrenheit 451,Ray Bradbury,1953,3.96,,3.0,4.0,3.0,3.0,,,3.25
59,2022-11-10,Station Eleven,Emily St. John Mandel,Koen,De Doelen,Station Eleven,Emily St. John Mandel,2014,4.07,,3.0,3.0,3.0,4.0,,,3.25
58,2022-09-07,De Opkomst van de Meritocratie,Michael Young,Dion,Vooges Centraal,De opkomst van de meritocratie,Michael Young,1958,3.8,,3.0,,4.0,,,,3.5
56,2022-03-31,Zero K,Don DeLillo,Allen (stemmen),?,Zero K,Don DeLillo,2016,3.2,,2.0,3.0,,,,,2.5
55,2022-02-02,House of Leaves,Mark Z. Danielewski,Allen (stemmen),De Doelen,House of Leaves,Mark Z. Danielewski,2000,4.09,,5.0,,,,,,5.0
53,2021-10-16,Mother Night,Kurt Vonnegut,Allen (stemmen),Robert - Atjehstraat 7,Mother Night,Kurt Vonnegut Jr.,1961,4.23,,5.0,,4.0,3.0,,,4.0
54,2021-12-08,The Island of Dr. Moreau,H.G. Wells,Allen (stemmen),?,The Island of Dr. Moreau,H.G. Wells,1896,3.73,,3.0,3.0,,4.0,,,3.3333333333333335
