index,date,title,author,blame,location
1,,The Road,Cormac McCarthy,gezamenlijk,?
4,2015-04-14,Neuromancer,William Gibson,gezamenlijk,?
6,2015-07-23,Hyperion,Dan Simmons,,?
12,2016-05-10,Lilith's Brood,Octavia E. Butler,Thirsa & Koen,?
13,2016-09-06,Blindsight,Peter Watts,Robert,Tweede Kostverlorenkade
20,2017-06-01,A Canticle for Leibowitz,Walter M. Miller,Dion,De Doelen
21,2017-07-11,Pnin,Vladimir Nabokov,Robert,Robert - Uithoornstraat 17-3
34,2019-02-20,Saga comic series,Bryan K. Vaughan & Fiona Staples,David,De Doelen
36,2019-05-22,Post Office,Charles Bukowski,Laurynas,?
37,2019-07-10,Catch 22,Joseph Heller,Robert,?
39,2019-10-18,The Algebraist,Iain M. Banks,David,?
40,2019-12-20,Gone Away World,Nick Harkaway,Marloes,?
46,2020-09-21,A Stranger in A Strange Land,Robert A. Heinlein,Thirsa & Koen,Laurynas - Keizersgracht 92k
51,2021-05-22,The Things,Peter Watts,Allen (stemmen),Laurynas - Keizersgracht 92k
55,2022-02-02,The House of Leaves,Mark Z. Danielewski,Allen (stemmen),De Doelen
56,2022-03-31,Zero K,Don DeLillo,Allen (stemmen),?
58,2022-09-07,De Opkomst van de Meritocratie,Michael Young,Dion,Vooges Centraal
72,2024-11-08,The Vegetarian,Han Kang,Koen,
