Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
128427762,Galapagos by Kurt Vonnegut (1985-09-01),Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut","","=""""","=""""",3,3.87,Delacorte Press/Seymour Lawrence,Hardcover,"",1707,1985,2024/08/26,2024/08/26,"","",read,"","","",1,0
19161852,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.","","=""""","=""""",0,4.30,Orbit,Paperback,468,2015,2015,"",2021/07/16,currently-reading,currently-reading (#1),currently-reading,"","","",2,0
57891620,Fine Structure,qntm,"qntm, qntm",Sam  Hughes,"=""""","=""""",2,4.07,"",Kindle Edition,357,"",2010,2024/09/21,2024/09/06,"","",read,"","","",1,0
39794472,Concept M,Aafke Romeijn,"Romeijn, Aafke","","=""9029510056""","=""9789029510059""",3,3.45,De Arbeiderspers,Paperback,253,2017,2018,2024/07/15,2024/05/28,"","",read,"","","",1,0
43444934,Het zoutpad,Raynor Winn,"Winn, Raynor",Annemie de Vries,"=""9460039405""","=""9789460039409""",2,4.02,Balans,Paperback,320,2019,2018,2024/08/26,2024/08/09,"","",read,"","","",1,0
161846,The Midwich Cuckoos,John Wyndham,"Wyndham, John","","=""0345299116""","=""9780345299116""",4,3.91,Ballantine Books,Mass Market Paperback,220,1958,1957,2024/08/08,2024/08/06,"","",read,"","","",1,0
5413,'Salem's Lot,Stephen         King,"King, Stephen","","=""0385516487""","=""9780385516488""",3,4.10,Doubleday,Hardcover,594,2005,1975,"",2015/12/04,"","",read,"","","",1,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter","","=""0765312182""","=""9780765312181""",5,4.01,Tor Books,Hardcover,384,2006,2006,2016/06/07,2015/12/04,"","",read,"","","",1,0
530965,The Day of the Triffids,John Wyndham,"Wyndham, John",Samuel West,"=""0812967127""","=""9780812967128""",4,4.01,Modern Library,Paperback,228,2003,1951,2024/08/06,2024/08/04,"","",read,"","","",1,0
212435142,In onze tijd: Leven in het Calamiteitperk,Tim Fransen,"Fransen, Tim","","=""""","=""9789021342603""",4,4.32,Alfabet Uitgevers,Paperback,368,2024,2024,2024/08/04,2024/06/26,"","",read,"","","",1,0
154527611,Sacred and Terrible Air,Robert Kurvitz,"Kurvitz, Robert","","=""""","=""""",0,3.81,"",ebook,276,2023,2013,"",2024/06/30,to-read,to-read (#133),to-read,"","","",0,0
199339145,Ik kom hier nog op terug,Rob van Essen,"Essen, Rob van","","=""""","=""9789025475277""",3,3.77,Atlas Contact,Paperback,398,2023,2023,2024/06/26,2024/05/30,"","",read,"","","",1,0
218427,"Gateway (Heechee Saga, #1)",Frederik Pohl,"Pohl, Frederik","","=""0345475836""","=""9780345475831""",3,4.06,Del Rey,Paperback,278,2004,1977,2024/06/06,2023/12/09,"","",read,"","","",1,0
783128,The 7 Habits of Highly Effective Families: Creating a Nurturing Family in a Turbulent World,Stephen R. Covey,"Covey, Stephen R.",Sandra M. Covey,"=""0307440850""","=""9780307440853""",0,4.13,St. Martin's Griffin,Paperback,390,1997,"","",2024/06/03,to-read,to-read (#132),to-read,"","","",0,0
784066,The New Peoplemaking,Virginia Satir,"Satir, Virginia",Satir,"=""0831400706""","=""9780831400705""",0,4.14,Science and Behavior Books,Paperback,400,1988,1988,"",2024/06/03,to-read,to-read (#131),to-read,"","","",0,0
59808603,The Mountain in the Sea,Ray Nayler,"Nayler, Ray","","=""0374605955""","=""9780374605957""",0,3.93,MCD,Hardcover,456,2022,2022,"",2024/05/30,to-read,to-read (#130),to-read,"","","",0,0
28763,His Master's Voice,Stanisław Lem,"Lem, Stanisław",Michael Kandel,"=""0810117312""","=""9780810117310""",5,4.09,Northwestern University Press,Paperback,199,1999,1968,2020/04/21,2019/01/10,"","",read,"","","",2,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake","","=""1101904224""","=""9781101904220""",0,4.14,Ballantine Books,Hardcover,342,2016,2016,"",2024/05/23,to-read,to-read (#129),to-read,"","","",0,0
45047384,"The House in the Cerulean Sea (Cerulean Chronicles, #1)",T.J. Klune,"Klune, T.J.","","=""""","=""""",0,4.40,Tor Books,Kindle Edition,394,2020,2020,"",2024/05/16,to-read,to-read (#128),to-read,"","","",0,0
