Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
222531211,A Different Kind of Power,Jacinda Ardern,"Ardern, Jacinda",,"=""0593728696""","=""9780593728697""",4,4.50,Crown,Hardcover,352,2025,2025,2025/07/13,2025/07/06,2025,2025 (#13),read,,,,1,0
60811826,I Who Have Never Known Men,Jacqueline Harpman,"Harpman, Jacqueline","Ros Schwartz, Sophie Mackintosh","=""1945492600""","=""9781945492600""",5,4.14,Transit Books,Paperback,184,2022,1995,2025/06/09,2025/05/21,2025,2025 (#12),read,,,,1,0
218271233,Oroppa,Safae el Khannoussi,"Khannoussi, Safae el",,"=""9493339122""","=""9789493339125""",0,3.52,Uitgeverij Pluim,Paperback,396,2024,2024,,2025/07/06,currently-reading,currently-reading (#2),currently-reading,,,,1,0
37004370,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""1101870605""","=""9781101870600""",0,3.71,Pantheon,Hardcover,274,2019,1994,,2025/07/06,to-read,to-read (#44),to-read,,,,0,0
18280790,All You Need Is Kill (All You Need Is Kill: Official Graphic Novel Adaptation),Nick Mamatas,"Mamatas, Nick","Hiroshi Sakurazaka, Lee Ferguson","=""142156081X""","=""9781421560816""",2,3.17,Haikasoru,Graphic Novel,96,2014,,,2016/07/19,comics,comics (#23),read,,,,1,0
30638114,Van der Laan,Kemal Rijken,"Rijken, Kemal",,"=""9026333919""","=""9789026333910""",3,3.79,Ambo | Anthos,Paperback,417,2016,,2025/06/08,2025/05/21,2025,2025 (#11),read,,,,1,0
22328,Neuromancer (Sprawl #1),William Gibson,"Gibson, William",,"=""""","=""""",4,3.89,Ace Books,Mass Market Paperback,271,1984,1984,2015/05/05,2015/02/25,2015,2015 (#7),read,,,,1,0
13821,Lord of Light,Roger Zelazny,"Zelazny, Roger",,"=""0060567236""","=""9780060567231""",4,4.05,Harper Voyager,Paperback,296,2010,1967,2025/05/21,2025/03/25,2025,2025 (#10),read,,,,1,0
9791,A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"Bryson, Bill",,"=""0307279464""","=""9780307279460""",4,4.07,Vintage,Mass Market Paperback,397,2006,1998,2025/05/03,2025/04/19,2025,2025 (#9),read,,,,1,0
34497,"The Color of Magic (Discworld, #1; Rincewind, #1)",Terry Pratchett,"Pratchett, Terry",,"=""0060855924""","=""9780060855925""",0,3.99,Harper,Paperback,228,2005,1983,,2025/04/19,to-read,to-read (#43),to-read,,,,0,0
35959740,Circe,Madeline Miller,"Miller, Madeline",,"=""0316556343""","=""9780316556347""",0,4.22,"Little, Brown and Company",Hardcover,393,2018,2018,,2025/04/19,to-read,to-read (#42),to-read,,,,0,0
886066,"Matter (Culture, #8)",Iain M. Banks,"Banks, Iain M.",,"=""1841494186""","=""9781841494180""",0,4.11,Orbit,Trade Paperback,593,2008,2008,,2023/01/06,currently-reading,currently-reading (#1),currently-reading,,,,2,0
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",3,4.19,Spectra Books,Mass Market Paperback,435,1996,1995,2025/04/19,2024/08/24,2025,2025 (#8),read,,,,1,0
13175692,The Shadow over Innsmouth,H.P. Lovecraft,"Lovecraft, H.P.",,"=""1450562795""","=""9781450562799""",4,4.10,Visionary Publishing Company,Paperback,158,1936,1936,2025/04/13,2025/03/29,2025,2025 (#7),read,,,,1,0
13147230,"The Long Earth (The Long Earth, #1)",Terry Pratchett,"Pratchett, Terry",Stephen Baxter,"=""0062067753""","=""9780062067753""",0,3.78,HarperCollins Harper,Hardcover,336,2012,2012,,2025/03/27,to-read,to-read (#41),to-read,,,,0,0
202931164,De mens is een plofkip,Teun van de Keuken,"Keuken, Teun van de",,"=""9400411332""","=""9789400411333""",4,3.70,Thomas Rap,Kindle Edition,94,2024,2024,2025/03/27,2025/03/23,2025,2025 (#6),read,,,,1,0
123136728,Orbital,Samantha Harvey,"Harvey, Samantha",,"=""0802161545""","=""9780802161543""",0,3.56,Atlantic Monthly Press,Hardcover,207,2023,2023,,2025/03/23,to-read,to-read (#40),to-read,,,,0,0
28446947,"Autumn (Seasonal Quartet, #1)",Ali Smith,"Smith, Ali",,"=""0241207002""","=""9780241207000""",0,3.66,Hamish Hamilton,Hardcover,264,2016,2016,,2025/03/23,to-read,to-read (#39),to-read,,,,0,0
