Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16234584,The Drowned World,J.G. Ballard,"Ballard, J.G.",Martin Amis,0871403625,9780871403629,1,3.48,Liveright,Paperback,198,2013,1962,2021/03/11,2021/02/24,,,read,,,,1,0
4883025,Vochtige streken,Charlotte Roche,"Roche, Charlotte",Marcel Misset,9023430581,9789023430582,3,2.86,De Bezige Bij,Paperback,215,2008,2008,2021/02/28,2021/02/28,,,read,,,,1,0
31356681,"Black Science, Vol. 5: True Atonement",Rick Remender,"Remender, Rick","Matteo Scalera, Moreno Dinisio",1534300333,9781534300330,3,4.12,Image Comics,Paperback,128,2016,2016,,2018/07/24,,,read,,,,1,0
35989498,"Black Science, Vol. 7: Extinction is the Rule",Rick Remender,"Remender, Rick","Matteo Scalera, Moreno Dinisio",1534304932,9781534304932,3,4.08,Image Comics,Paperback,128,2018,2018,2019/09/05,2018/07/31,,,read,,,,1,0
33585537,"Black Science, Vol. 6: Forbidden Realms and Hidden Truths",Rick Remender,"Remender, Rick","Matteo Scalera, Moreno Dinisio",1534301828,9781534301825,3,4.11,Image Comics,Paperback,136,2017,2017,,2018/07/25,,,read,,,,1,0
28587088,"Black Science, Vol. 4: Godworld",Rick Remender,"Remender, Rick",Matteo Scalera,1632156865,9781632156860,3,4.1,Image Comics,Paperback,128,2016,2016,,2018/07/24,,,read,,,,1,0
25570630,"Black Science, Vol. 3: Vanishing Point",Rick Remender,"Remender, Rick","Matteo Scalera, Moreno Dinisio",1632153955,9781632153951,3,3.94,Image Comics,Paperback,128,2015,2015,,2018/07/24,,,read,,,,1,0
23093358,"Black Science, Vol. 2: Welcome, Nowhere",Rick Remender,"Remender, Rick","Matteo Scalera, Dean White",1632150182,9781632150189,3,3.82,Image Comics,Paperback,128,2015,2015,2018/07/24,2018/07/01,,,read,,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,0804139024,9780804139021,3,4.42,Ballantine Books,Hardcover,384,2014,2011,2014/11/14,2014/11/09,,,read,,,,1,0
9597,Player Piano,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,0385333781,9780385333788,3,3.9,Dial Press,Paperback,341,2006,1952,,2015/09/19,,,read,,,,1,0
9418025,Schuld en boete,Fyodor Dostoevsky,"Dostoevsky, Fyodor",,,,5,4.27,Uitgeverij Het Spectrum,Paperback,286,2008,1866,,2016/01/27,,,read,,,,1,0
89186,Pushing Ice,Alastair Reynolds,"Reynolds, Alastair",,0441014011,9780441014019,3,4.07,Ace Hardcover,Hardcover,458,2006,2005,2017/01/24,2016/02/17,,,read,,,,1,0
112537,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,1857231589,9781857231588,4,4.12,,Paperback,243,2000,1973,2016/05/14,2016/05/06,,,read,,,,1,0
102327,Armor,John Steakley,"Steakley, John",,0886773687,9780886773687,3,4.11,DAW,Mass Market Paperback,426,1984,1984,2016/10/04,2016/09/21,,,read,,,,1,0
113205,Heart of a Dog,Mikhail Bulgakov,"Bulgakov, Mikhail","Michail Bulgakov, Mirra Ginsburg",0802150594,9780802150592,4,4.1,Grove Press,Paperback,123,1994,1925,2016/11/04,2016/10/16,,,read,,,,1,0
6597651,The Windup Girl,Paolo Bacigalupi,"Bacigalupi, Paolo",,1597801577,9781597801577,1,3.75,Night Shade Books,Hardcover,359,2009,2009,2017/01/04,2016/12/11,,,read,,,,1,0
6234486,Het proces,Franz Kafka,"Kafka, Franz",Ruth Wolf,9021497808,9789021497808,5,3.95,Querido,Hardcover,295,1992,1925,2017/02/22,2017/01/24,,,read,,,,1,0
18630,"The Player of Games (Culture, #2)",Iain M. Banks,"Banks, Iain M.",,0061053562,9780061053566,4,4.28,HarperCollins,Paperback,293,1997,1988,2017/04/04,2017/02/22,,,read,,,,1,0
234225,"Dune (Dune, #1)",Frank Herbert,"Herbert, Frank",,0340839937,9780340839935,4,4.28,Hodder,Paperback,604,2006,1965,2017/10/24,2017/10/24,,,read,,,,1,0
1078784,De helaasheid der dingen,Dimitri Verhulst,"Verhulst, Dimitri",,9025427731,9789025427733,4,3.8,Contact,Paperback,207,2006,2006,2018/07/29,2018/07/03,,,read,,,,1,0
28274864,Ivanov,Hanna Bervoets,"Bervoets, Hanna",,9025446450,9789025446451,3,3.62,Atlas Contact,Paperback,320,2016,2016,,2019/09/04,,,read,,,,1,0
19030933,IJstijd,Maartje Wortel,"Wortel, Maartje",,9023485416,9789023485414,3,3.31,De Bezige Bij,Paperback,238,2014,2014,,2020/05/10,,,read,,,,1,0
7992363,HHhH,Laurent Binet,"Binet, Laurent",,2246760011,9782246760016,4,4.07,Grasset,Paperback,442,2010,2010,,2020/05/31,,,read,,,,1,0
36368516,Klont,Maxim Februari,"Februari, Maxim",,9044634143,9789044634143,3,3.02,Prometheus,Hardcover,270,2017,2017,,2020/12/06,,,read,,,,1,0
34456975,De drinker,Hans Fallada,"Fallada, Hans",,9059367170,9789059367173,4,4.09,Uitgeverij Cossee,Paperback,318,2017,1950,2021/07/01,2021/07/25,,,read,,,,1,0
12710513,Het strand,Alex Garland,"Garland, Alex",Anneke Goddijn,,9789025419912,3,3.97,Contact,Paperback,354,2001,1996,2021/08/26,2021/08/03,,,read,,,,1,0
29981,The Island of Dr. Moreau,H.G. Wells,"Wells, H.G.",Alan Lightman,0553214322,9780553214321,3,3.73,Bantam Classic & Loveswept,Unknown Binding,160,1999,1896,2021/11/22,2021/11/04,,,read,,,,1,0
45302158,Vader op komst,Willem Bisseling,"Bisseling, Willem",,9022586707,9789022586709,3,3.78,Boekerij,Paperback,256,2019,2019,2021/11/22,2021/11/22,,,read,,,,1,0
46756,"Oryx and Crake (MaddAddam, #1)",Margaret Atwood,"Atwood, Margaret",,,,4,4.01,Anchor Books,Paperback,389,2004,2003,2019/01/01,2021/11/28,,,read,,,,1,0
5805,V for Vendetta,Alan Moore,"Moore, Alan",David   Lloyd,1401207928,9781401207922,4,4.26,Vertigo,Hardcover,296,2005,1990,2022/02/19,2022/02/06,,,read,,,,1,0
6066430,Spoetnikliefde,Haruki Murakami,"Murakami, Haruki",Elbrich Fennema,9045014785,9789045014784,3,3.83,Uitgeverij Atlas,Paperback,222,2008,1999,2022/09/25,2022/09/25,,,read,,,,1,0
