Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,3.58,Hogarth,Hardcover,188,2016,2007,2024/09/28,2024/09/28,,,read,,,,1,0
194970456,De onzichtbaren,Frank Nellen,"Nellen, Frank",,"=""""","=""""",0,3.88,Hollands Diep,Kindle Edition,234,2023,2023,2024/09/22,2024/09/22,,,read,,,,1,0
181031840,"Echo of Worlds (Pandominion, #2)",M.R. Carey,"Carey, M.R.",,"=""035651806X""","=""9780356518060""",3,4.34,Orbit,Kindle Edition,496,2024,2024,2024/09/15,2024/09/15,,,read,,,,1,0
9593,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,"=""0385333870""","=""9780385333870""",3,3.87,Dial Press Trade Paperback,Paperback,324,1999,1985,2024/08/13,2024/08/14,,,read,,,,1,0
941517,Honderd jaar eenzaamheid,Gabriel García Márquez,"Márquez, Gabriel García",C.A.G. van den Broek,"=""9029000147""","=""9789029000147""",5,4.12,Meulenhoff,Paperback,428,1972,1967,2024/08/30,2024/08/30,,,read,,,,1,0
16054217,"The Book of Life (All Souls, #3)",Deborah Harkness,"Harkness, Deborah",,"=""0670025593""","=""9780670025596""",3,4.21,Viking Adult,Hardcover,561,2014,2014,,2014/08/08,,,read,,,,1,0
43615,"The Gunslinger (The Dark Tower, #1)",Stephen        King,"King, Stephen",,"=""""","=""""",3,3.92,Plume,Paperback,231,2003,1982,2024/06/17,2024/06/23,,,read,,,,1,0
61440509,De beesten,Gijs Wilbrink,"Wilbrink, Gijs",,"=""940040820X""","=""9789400408203""",3,4.05,Thomas Rap,Paperback,394,2022,2022,2024/07/29,2024/07/29,,,read,,,,1,0
39794472,Concept M,Aafke Romeijn,"Romeijn, Aafke",,"=""9029510056""","=""9789029510059""",3,3.45,De Arbeiderspers,Paperback,253,2017,2018,,2024/06/23,,,read,,,,2,0
61237044,"Infinity Gate (Pandominion, #1)",M.R. Carey,"Carey, M.R.",,"=""0316504386""","=""9780316504386""",4,4.16,Orbit,Paperback,499,2023,2023,2024/07/19,2024/07/20,,,read,,,,1,0
