Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
202617430,"Opvoedfeiten: Op data gebaseerd, voor een relaxter ouderschap, van baby tot peuter",Emily Oster,"Oster, Emily",,"=""""","=""9789000384303""",4,4.14,Spectrum,Paperback,384,2023,2019,2024/09/20,2024/09/20,,,read,Elk kind is anders,,,1,0
9934441,Galapagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",Riccardo Mainardi,"=""8845244164""","=""9788845244162""",3,3.87,Bompiani,Paperback,302,2000,1985,2024/09/11,2024/09/11,,,read,,,,1,0
6443834,"1Q84 Book 1 (1Q84, #1)",Haruki Murakami,"Murakami, Haruki",,"=""4103534222""","=""9784103534228""",4,3.96,Shinchosha/Tsai Fong Books,Hardcover,554,2009,2009,2018/06/05,2018/06/05,,,read,,,,1,0
28763,His Master's Voice,Stanisław Lem,"Lem, Stanisław",Michael Kandel,"=""0810117312""","=""9780810117310""",3,4.09,Northwestern University Press,Paperback,199,1999,1968,2024/07/27,2024/04/11,,,read,,,,1,0
1076175,Hersenschimmen,J. Bernlef,"Bernlef, J.",,"=""9021451816""","=""9789021451817""",0,3.89,Querido,Hardcover,160,1985,1984,,2024/07/22,to-read,to-read (#12),to-read,,,,0,0
39794472,Concept M,Aafke Romeijn,"Romeijn, Aafke",,"=""9029510056""","=""9789029510059""",3,3.46,De Arbeiderspers,Paperback,253,2017,2018,2024/07/20,2024/07/20,,,read,"Vier sterren, maar met een vol minpunt vanwege het einde",,,1,0
55292538,In the Company of Men,Véronique Tadjo,"Tadjo, Véronique",John Cullen,"=""1635420954""","=""9781635420951""",3,3.84,Other Press,Paperback,160,2021,2017,2024/04/22,2024/04/22,,,read,,,,1,0
40180098,The Overstory,Richard Powers,"Powers, Richard",,"=""039335668X""","=""9780393356687""",0,4.12,W.W. Norton & Company,Paperback,502,2019,2018,,2024/04/13,to-read,to-read (#11),to-read,,,,0,0
4703581,The City & the City,China Miéville,"Miéville, China",,"=""0345497511""","=""9780345497512""",4,3.90,Del Rey/Ballantine Books,Hardcover,312,2009,2009,2024/04/07,2024/04/07,,,read,,,,1,0
182838769,De fabriek,Hiroko Oyamada,"Oyamada, Hiroko",Luk Van Haute,"=""""","=""9789025474775""",1,3.34,Atlas Contact,Paperback,176,2023,2010,2024/03/17,2024/03/18,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",2,3.75,Alfred A. Knopf,Hardcover,303,2021,2021,2024/02/23,2024/02/24,,,read,Prequel van de Mitsukoshi Troostbaby Company.,,,1,0
8217236,The Yellow Wallpaper,Charlotte Perkins Gilman,"Gilman, Charlotte Perkins",,"=""""","=""""",3,4.08,Public Domain Books,Kindle Edition,63,2009,1892,2024/01/29,2024/01/30,,,read,,,,1,0
6370262,Kroniek van een aangekondigde dood,Gabriel García Márquez,"Márquez, Gabriel García",Mariolein Sabarte Belacortu,"=""9029022019""","=""9789029022019""",2,3.97,Meulenhoff,Paperback,114,1981,1981,2024/01/23,2024/01/26,,,read,"Veel gebabbel, weinig wol",,,1,0
333867,The Stars My Destination,Alfred Bester,"Bester, Alfred",,"=""0679767800""","=""9780679767800""",3,4.06,Vintage,Hardcover,258,1996,1956,2024/01/11,2024/01/13,,,read,,,,1,0
331256,Roadside Picnic,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Antonina W. Bouis, Theodore Sturgeon","=""0575070536""","=""9780575070530""",4,4.14,Gollancz,Paperback,145,2000,1972,2023/12/01,2023/12/05,,,read,,,,1,0
10872083,Oorlog met de salamanders,Karel Čapek,"Čapek, Karel",Irma Pieper,"=""9028423915""","=""9789028423916""",4,4.17,Wereldbibliotheek,Paperback,286,2011,1936,2023/11/04,2023/11/05,,,read,,,,1,0
58808564,De Mitsukoshi Troostbaby Company,Auke Hulst,"Hulst, Auke",,"=""902634693X""","=""9789026346934""",4,4.07,Ambo|Anthos,Hardcover,608,2021,2021,2023/10/12,2023/10/12,,,read,"Net als The Iron Giant, maar dan voor volwassenen",,,1,0
56404444,Bewilderment,Richard Powers,"Powers, Richard",,"=""0393881148""","=""9780393881141""",4,3.92,W. W. Norton Company,Hardcover,278,2021,2021,2023/09/02,2023/09/03,,,read,,,,1,0
1246118,The Black Cloud,Fred Hoyle,"Hoyle, Fred",,"=""0899683444""","=""9780899683447""",0,3.91,Lightyear Pr,Hardcover,200,1998,1957,,2023/08/18,to-read,to-read (#10),to-read,,,,0,0
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",,"=""0553380958""","=""9780553380958""",2,4.02,Bantam Books,Paperback,438,2000,1992,2023/07/11,2023/07/12,,,read,,,,1,0
7331435,A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,"=""0307592839""","=""9780307592835""",4,3.70,Knopf,Hardcover,274,2010,2010,2023/05/07,2023/05/07,,,read,,,,1,0
22023702,Birk,Jaap Robben,"Robben, Jaap",,"=""9044532774""","=""9789044532777""",3,3.42,De Geus,Hardcover,256,2014,2014,2023/04/05,2023/04/05,,,read,,,,1,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1982150920""","=""9781982150921""",5,3.79,Scribner,Paperback,209,2020,2017,2023/03/26,2023/03/27,,,read,,,,1,0
61994326,Tussentijds,Peter Zantingh,"Zantingh, Peter",,"=""9493248453""","=""9789493248458""",3,3.82,Das Mag,Paperback,175,2022,2022,2023/03/03,2023/03/03,,,read,,,,1,0
17333324,"Ancillary Justice (Imperial Radch, #1)",Ann Leckie,"Leckie, Ann",,"=""""","=""""",2,3.99,Orbit,Paperback,386,2013,2013,2023/01/06,2023/01/12,,,read,,,,1,0
