Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28763,His Master's Voice,Stanisław Lem,"Lem, Stanisław",Michael Kandel,"=""0810117312""","=""9780810117310""",5,4.09,Northwestern University Press,Paperback,199,1999,1968,,2024/09/20,,,read,,,,1,0
39794472,Concept M,Aafke Romeijn,"Romeijn, Aafke",,"=""9029510056""","=""9789029510059""",2,3.46,De Arbeiderspers,Paperback,253,2017,2018,,2024/09/19,,,read,,,,1,0
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah Smith,"=""0553448188""","=""9780553448184""",0,3.57,Hogarth,Hardcover,188,2016,2007,,2024/09/19,currently-reading,currently-reading (#1),currently-reading,,,,1,0
44333183,The Unicorn Project,Gene Kim,"Kim, Gene",,"=""1942788762""","=""9781942788768""",4,4.08,IT Revolution Press,Hardcover,352,2019,2019,,2024/09/19,,,read,,,,1,0
17255186,"The Phoenix Project: A Novel About IT, DevOps, and Helping Your Business Win",Gene Kim,"Kim, Gene","Kevin Behr, George Spafford","=""0988262592""","=""9780988262591""",5,4.26,IT Revolution Press,Hardcover,345,2013,2013,,2024/09/19,,,read,,,,1,0
4835987,The Haçienda: How Not to Run a Club,Peter Hook,"Hook, Peter",,"=""1847371353""","=""9781847371355""",0,3.84,Simon & Schuster UK,Hardcover,352,2009,2008,,2024/09/19,to-read,to-read (#158),to-read,,,,0,0
48484,"Blindsight (Firefall, #1)",Peter Watts,"Watts, Peter",,"=""0765312182""","=""9780765312181""",5,4.01,Tor Books,Hardcover,384,2006,2006,2016/05/24,2016/05/24,,,read,,,,1,0
14817,A Scanner Darkly,Philip K. Dick,"Dick, Philip K.",,"=""057507681X""","=""9780575076815""",0,4.02,Gollancz,Paperback,219,2006,1977,,2024/06/23,to-read,to-read (#157),to-read,,,,0,0
6436659,Transition,Iain M. Banks,"Banks, Iain M.",,"=""0316071986""","=""9780316071987""",0,3.87,Orbit,Hardcover,404,2009,2009,,2024/06/23,to-read,to-read (#156),to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",4,4.18,Harper Voyager,Hardcover,544,2022,2022,,2024/01/24,,,read,,,,1,0
394535,"Blood Meridian, or, the Evening Redness in the West",Cormac McCarthy,"McCarthy, Cormac",,"=""""","=""""",0,4.16,Vintage Books,Paperback,351,2010,1985,,2024/01/07,to-read,to-read (#155),to-read,,,,0,0
49090884,Tender Is the Flesh,Agustina Bazterrica,"Bazterrica, Agustina",Sarah Moses,"=""1982150920""","=""9781982150921""",0,3.79,Scribner,Paperback,209,2020,2017,,2023/12/29,,,read,,,,1,0
59364173,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""""","=""""",0,4.46,Simon & Schuster,ebook,320,2022,2022,,2023/12/29,to-read,to-read (#154),to-read,,,,0,0
54870256,There Is No Antimemetics Division,qntm,"qntm, qntm",Sam  Hughes,"=""""","=""""",4,4.25,,Kindle Edition,220,2020,2020,,2023/12/27,,,read,,,,1,0
331256,Roadside Picnic,Arkady Strugatsky,"Strugatsky, Arkady","Boris Strugatsky, Theodore Sturgeon, Antonina W. Bouis","=""0575070536""","=""9780575070530""",5,4.14,Gollancz,Paperback,145,2000,1972,,2023/12/16,,,read,,,,1,0
10872083,Oorlog met de salamanders,Karel Čapek,"Čapek, Karel",Irma Pieper,"=""9028423915""","=""9789028423916""",3,4.17,Wereldbibliotheek,Paperback,286,2011,1936,,2023/09/04,,,read,,,,1,0
